[UVa 1209] Wordfish,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=3650,,,,,,,
[LA 3996] Digit Counting,https://icpcarchive.ecs.baylor.edu/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1997,,,,,,,
[LA 4202] Schedule of a Married Man,https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=2203,,,,,,,
[LA 4786] Barcodes,https://icpcarchive.ecs.baylor.edu/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=2787,,,,,,,
[UVa 154] Recycling,https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=90,,,,,,,
[UVa 441] Lotto,https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=382,,,,,,,
[UVa 639] Don't Get Rooked,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=580,,,,,,,
[UVa 725] Division,https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=666,,,,,,,
[UVa 10360] Rat Attack,https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1301,,,,,,,
[UVa 10662] Wedding,https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1603,,,,,,,
[UVa 11242] Tour de France,https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2183,,,,,,,
[UVa 11804] Argentina,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=2904,,,,,,,
[UVa 193] Graph Coloring,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=129,,,,,,,
[UVa 222] Budget Travel,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=158,,,,,,,
[UVa 524] Prime Ring Problem,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=465,,,,,,,
[UVa 624] CD,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=565,,,,,,,
[UVa 628] Passwords,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=569,,,,,,,
[UVa 729] The Hamming Distance Problem,https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=670,,,,,,,
[UVa 750] 8 Queens Chess Problem,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=691,,,,,,,
[UVa 10285] Longest Run on a Snowboard,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1226,,,,,,,
[UVa 10496] Collecting Beepers,https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1437,,,,,,,
[LA 4793] Robots on Ice,https://icpcarchive.ecs.baylor.edu/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=2794,,,,,,,
[LOJ 1023] Discovering Permutations,http://lightoj.com/volume_showproblem.php?problem=1023,,,,,,,
[LOJ 1091] The Fastest Sorting Ever!,http://lightoj.com/volume_showproblem.php?problem=1091,,,,,,,
[LOJ 1397] Sudoku Solver,http://lightoj.com/volume_showproblem.php?problem=1397,,,,,,,
[LOJ 1309] Children's Math,http://lightoj.com/volume_showproblem.php?problem=1309,,,,,,,
[LOJ 1324] Equivalent Boolean Expressions,http://lightoj.com/volume_showproblem.php?problem=1324,,,,,,,
[LA 6802] Turtle Graphics,https://icpcarchive.ecs.baylor.edu/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=4814,,,,,,,
[LA 6809] Spokes Wheel,https://icpcarchive.ecs.baylor.edu/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=4821,,,,,,,
[LA 6836] Automotive Navigation,https://icpcarchive.ecs.baylor.edu/index.php?option=com_onlinejudge&Itemid=8&category=672&page=show_problem&problem=4848,,,,,,,
[LA 6884] GREAT + SWERC = PORTO,https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=4896,,,,,,,
[LA 6906] Cluster Analysis,https://icpcarchive.ecs.baylor.edu/index.php?option=com_onlinejudge&Itemid=8&category=643&page=show_problem&problem=4918,,,,,,,
[LA 6912] Prime Switch,https://icpcarchive.ecs.baylor.edu/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=4924,,,,,,,
